"days - order","days - title","days - tournDay","days - events","days - quals","days - matches - order","days - matches - eventName","days - matches - eventCode","days - matches - eventDay","days - matches - eventSortOrder","days - matches - id","days - matches - crt","days - matches - crtId","days - matches - event","days - matches - round","days - matches - displayBrackets","days - matches - duration","days - matches - epoch","days - matches - epochLongDate","days - matches - epochShortTime","days - matches - clickCount","days - matches - stats","days - matches - session","days - matches - sessionStart","days - matches - status","days - matches - t1 - pA_last","days - matches - t1 - pA_first","days - matches - t1 - pA_tv_name","days - matches - t1 - pAid","days - matches - t1 - pAnat","days - matches - t1 - pB_last","days - matches - t1 - pB_first","days - matches - t1 - pB_tv_name","days - matches - t1 - pBid","days - matches - t1 - pBnat","days - matches - t1 - seed","days - matches - t1 - sw","days - matches - t1 - s1","days - matches - t1 - t1","days - matches - t1 - s2","days - matches - t1 - t2","days - matches - t1 - s3","days - matches - t1 - t3","days - matches - t1 - s4","days - matches - t1 - t4","days - matches - t1 - s5","days - matches - t1 - gs","days - matches - t1 - won","days - matches - t2 - pA_last","days - matches - t2 - pA_first","days - matches - t2 - pA_tv_name","days - matches - t2 - pAid","days - matches - t2 - pAnat","days - matches - t2 - pB_last","days - matches - t2 - pB_first","days - matches - t2 - pB_tv_name","days - matches - t2 - pBid","days - matches - t2 - pBnat","days - matches - t2 - seed","days - matches - t2 - sw","days - matches - t2 - s1","days - matches - t2 - t1","days - matches - t2 - s2","days - matches - t2 - t2","days - matches - t2 - s3","days - matches - t2 - t3","days - matches - t2 - s4","days - matches - t2 - t4","days - matches - t2 - s5","days - matches - t2 - gs","days - matches - t2 - won"
"","","","","","11","G. Snr. Invitation Doubles","OD","20","R","47101","Court 18","S","G. Snr. Invitation Doubles - ","","1","1:10","1468047166000","Saturday 09 July 2016","07:52am BST","9","true","1","11:30 AM","Complete","Bahrami","Mansour","M. Bahrami","atpb001","IRI","McEnroe","Patrick","P. McEnroe","atpm048","USA","","1","7","","2","","7","","","","","","false","Woodbridge","Todd","T.A. Woodbridge","atpw136","AUS","Woodforde","Mark","M. Woodforde","atpw035","AUS","","2","5","","6","","10","","","","","","true"
"","","","","","12","Girls' Doubles","GD","20","I","24402","Court 18","S","Girls' Doubles - Semi-finals","Semi-finals","0","0:54","1468051397000","Saturday 09 July 2016","09:03am BST","1","true","1","11.30","Complete","Juvan","Kaja","K. Juvan","wta324702","SLO","Swiatek","Iga","I. Swiatek","1000071996","POL","3","0","1","","3","","","","","","","","false","Bolkvadze","Mariam","M. Bolkvadze","wta320592","GEO","McNally","Caty","C. McNally","wta325725","USA","","2","6","","6","","","","","","","","true"
"","","","","","13","Boys' Doubles","BD","20","H","23401","Court 18","S","Boys' Doubles - Semi-finals","Semi-finals","0","1:33","1468058051000","Saturday 09 July 2016","10:54am BST","2","true","1","11.30","Complete","Auger-Aliassime","Felix","F. Auger-Aliassime","atpag37","CAN","Shapovalov","Denis","D. Shapovalov","atpsu55","CAN","1","2","7","7","3","","6","","","","","","true","Kecmanovic","Miomir","M. Kecmanovic","atpki95","SRB","Ruud","Casper","C. Ruud","atprh16","NOR","3","1","6","1","6","","3","","","","","","false"
"","","","","","14","Girls' Doubles","GD","20","I","24401","Court 18","S","Girls' Doubles - Semi-finals","Semi-finals","0","1:05","1468064617000","Saturday 09 July 2016","12:43pm BST","1","true","1","11.30","Complete","Pervushina","Olesya","O. Pervushina","wta324613","RUS","Potapova","Anastasia","A. Potapova","wta325601","RUS","1","0","5","","4","","","","","","","","false","Arconada","Usue Maitane","U. Arconada","wta321195","USA","Liu","Claire","C. Liu","wta323966","USA","4","2","7","","6","","","","","","","","true"
"","","","","","15","G. Wheelchair Doubles","DM","20","O","32201","Court 17","R","G. Wheelchair Doubles - ","","0","2:34","1468050491000","Saturday 09 July 2016","08:48am BST","5","true","1","11:00 AM","Complete","Houdet","Stephane","S. Houdet","awc000002","FRA","Peifer","Nicolas","N. Peifer","awc000007","FRA","1","1","6","","1","","6","6","","","","","false","Hewett","Alfie","A. Hewett","awc999999","GBR","Reid","Gordon","G. Reid","awc000017","GBR","2","2","4","","6","","7","8","","","","","true"
"","","","","","16","L. Wheelchair Singles","SW","20","Z","33301","Court 17","R","L. Wheelchair Singles - Final","Final","0","1:36","1468057922000","Saturday 09 July 2016","10:52am BST","0","true","1","11.00","Complete","Griffioen","Jiske","J. Griffioen","wwc000007","NED","","","","","","1","2","4","","6","","6","","","","","","true","Van Koot","Aniek","A. Van Koot","wwc000006","NED","","","","","","","1","6","","0","","4","","","","","","false"
"2","Day 11 Friday 8 July","19","MS,LD,MX,BS,BD,GS,GD,SD,OD,SL,SM,DM,SW,DW","false","1","Gentlemen's Singles","MS","19","A","1601","Centre Court","A","Gentlemen's Singles - Semi-finals","Semi-finals","0","3:25","1467974241000","Friday 08 July 2016","11:37am BST","51","true","1","1:00 PM","Complete","Raonic","Milos","M. Raonic","atpr975","CAN","","","","","","6","3","6","","6","3","4","","7","","6","","true","Federer","Roger","R. Federer","atpf324","SUI","","","","","","3","2","3","","7","7","6","","5","","3","","false"
"","","","","","2","Gentlemen's Singles","MS","19","A","1602","Centre Court","A","Gentlemen's Singles - Semi-finals","Semi-finals","0","1:58","1467982503000","Friday 08 July 2016","01:55pm BST","11","true","1","13.00","Complete","Berdych","Tomas","T. Berdych","atpba47","CZE","","","","","","10","0","3","","3","","3","","","","","","false","Murray","Andy","A. Murray","atpmc10","GBR","","","","","","2","3","6","","6","","6","","","","","","true"
"","","","","","3","Ladies' Doubles","LD","19","D","4501","No.1 Court","B","Ladies' Doubles - Semi-finals","Semi-finals","0","1:13","1467966325000","Friday 08 July 2016","09:25am BST","3","true","1","1:00 PM","Complete","Babos","Timea","T. Babos","wta317070","HUN","Shvedova","Yaroslava","Y. Shvedova","wta311137","KAZ","5","2","6","","6","","","","","","","","true","Atawo","Raquel","R. Atawo","wta110551","USA","Spears","Abigail","A. Spears","wta190771","USA","10","0","4","","2","","","","","","","","false"
"","","","","","4","Ladies' Doubles","LD","19","D","4502","No.1 Court","B","Ladies' Doubles - Semi-finals","Semi-finals","0","1:38","1467973099000","Friday 08 July 2016","11:18am BST","35","true","1","13.00","Complete","Williams","Serena","S. Williams","wta230234","USA","Williams","Venus","V. Williams","wta230220","USA","","2","7","7","6","","","","","","","","true","Goerges","Julia","J. Goerges","wta313381","GER","Pliskova","Karolina","Ka. Pliskova","wta313974","CZE","8","0","6","3","4","","","","","","","","false"
