"days - order","days - title","days - tournDay","days - events","days - quals","days - matches - order","days - matches - eventName","days - matches - eventCode","days - matches - eventDay","days - matches - eventSortOrder","days - matches - id","days - matches - crt","days - matches - crtId","days - matches - event","days - matches - round","days - matches - displayBrackets","days - matches - duration","days - matches - epoch","days - matches - epochLongDate","days - matches - epochShortTime","days - matches - clickCount","days - matches - stats","days - matches - session","days - matches - sessionStart","days - matches - status","days - matches - t1 - pA_last","days - matches - t1 - pA_first","days - matches - t1 - pA_tv_name","days - matches - t1 - pAid","days - matches - t1 - pAnat","days - matches - t1 - pB_last","days - matches - t1 - pB_first","days - matches - t1 - pB_tv_name","days - matches - t1 - pBid","days - matches - t1 - pBnat","days - matches - t1 - seed","days - matches - t1 - sw","days - matches - t1 - s1","days - matches - t1 - t1","days - matches - t1 - s2","days - matches - t1 - t2","days - matches - t1 - s3","days - matches - t1 - t3","days - matches - t1 - s4","days - matches - t1 - t4","days - matches - t1 - s5","days - matches - t1 - gs","days - matches - t1 - won","days - matches - t2 - pA_last","days - matches - t2 - pA_first","days - matches - t2 - pA_tv_name","days - matches - t2 - pAid","days - matches - t2 - pAnat","days - matches - t2 - pB_last","days - matches - t2 - pB_first","days - matches - t2 - pB_tv_name","days - matches - t2 - pBid","days - matches - t2 - pBnat","days - matches - t2 - seed","days - matches - t2 - sw","days - matches - t2 - s1","days - matches - t2 - t1","days - matches - t2 - s2","days - matches - t2 - t2","days - matches - t2 - s3","days - matches - t2 - t3","days - matches - t2 - s4","days - matches - t2 - t4","days - matches - t2 - s5","days - matches - t2 - gs","days - matches - t2 - won"
"","","","","","52","Ladies' Singles","LS","13","B","2311","Court 16","Q","Ladies' Singles - Third Round","Third Round","0","1:30","1467450575000","Saturday 02 July 2016","01:01pm BST","31","true","1","11:00 AM","Complete","Doi","Misaki","M. Doi","wta314237","JPN","","","","","","","2","7","7","6","","","","","","","","true","Friedsam","Anna-Lena","A. Friedsam","wta319091","GER","","","","","","","0","6","1","3","","","","","","","","false"
"","","","","","53","Ladies' Singles","LS","13","B","2315","Court 16","Q","Ladies' Singles - Third Round","Third Round","0","1:17","1467460904000","Saturday 02 July 2016","02:40pm BST","12","true","1","11.00","Complete","Lisicki","Sabine","S. Lisicki","wta312520","GER","","","","","","","0","6","2","1","","","","","","","","false","Shvedova","Yaroslava","Y. Shvedova","wta311137","KAZ","","","","","","","2","7","7","6","","","","","","","","true"
"","","","","","54","Ladies' Doubles","LD","13","D","4101","Court 16","Q","Ladies' Doubles - First Round","First Round","0","1:21","1467466808000","Saturday 02 July 2016","03:56pm BST","7","true","1","11.00","Complete","Hingis","Martina","M. Hingis","wta080301","SUI","Mirza","Sania","S. Mirza","wta310112","IND","1","2","6","","7","","","","","","","","true","Friedsam","Anna-Lena","A. Friedsam","wta319091","GER","Siegemund","Laura","L. Siegemund","wta310926","GER","","0","2","","5","","","","","","","","false"
"","","","","","55","Mixed Doubles","MX","13","E","5114","Court 16","Q","Mixed Doubles - First Round","First Round","0","0:59","1467471383000","Saturday 02 July 2016","10:22am BST","0","true","1","11.00","Complete","Siljestrom","Andreas","A. Siljestrom","atpsc54","SWE","Wang","Yafan","Y. Wang","wta317510","CHN","","0","4","","4","","","","","","","","false","Inglot","Dominic","D. Inglot","atpi200","GBR","Robson","Laura","L. Robson","wta316629","GBR","","2","6","","6","","","","","","","","true"
"","","","","","56","Gentlemen's Singles","MS","13","A","1302","Court 17","R","Gentlemen's Singles - Third Round","Third Round","0","2:18","1467451360000","Saturday 02 July 2016","01:39pm BST","28","true","1","12:00 PM","Complete","Herbert","Pierre-Hugues","P. Herbert","atph996","FRA","","","","","","","1","6","5","4","","6","","3","","","","false","Mahut","Nicolas","N. Mahut","atpm873","FRA","","","","","","","3","7","7","6","","3","","6","","","","true"
"","","","","","57","Gentlemen's Singles","MS","13","A","1311","Court 17","R","Gentlemen's Singles - Third Round","Third Round","0","1:48","1467463152000","Saturday 02 July 2016","03:34pm BST","5","true","1","12.00","Complete","Bautista Agut","Roberto","R. Bautista Agut","atpbd06","ESP","","","","","","14","0","2","","4","","4","","","","","","false","Tomic","Bernard","B. Tomic","atpta46","AUS","","","","","","19","3","6","","6","","6","","","","","","true"
"","","","","","58","Gentlemen's Doubles","MD","13","C","3129","Court 17","R","Gentlemen's Doubles - First Round","First Round","0","1:22","1467470088000","Saturday 02 July 2016","12:11pm BST","0","true","1","12.00","Complete","Stepanek","Radek","R. Stepanek","atps694","CZE","Zimonjic","Nenad","N. Zimonjic","atpz072","SRB","14","2","7","7","6","","","","","","","","true","Johnson","Steve","S. Johnson","atpj386","USA","Querrey","Sam","S. Querrey","atpq927","USA","","0","6","4","3","","","","","","","","false"
"","","","","","59","Gentlemen's Doubles","MD","13","C","3204","Court 19","T","Gentlemen's Doubles - Second Round","Second Round","0","1:18","1467457862000","Saturday 02 July 2016","01:37pm BST","7","true","1","12:00 PM","Complete","Martin","Andrej","A. Martin","atpmf35","SVK","Podlipnik-Castillo","Hans","H. Podlipnik-Castillo","atppb37","CHI","","0","5","","2","","","","","","","","false","Bopanna","Rohan","R. Bopanna","atpb757","IND","Mergea","Florin","F. Mergea","atpmb27","ROU","6","2","7","","6","","","","","","","","true"
"","","","","","60","Gentlemen's Doubles","MD","13","C","3116","Court 19","T","Gentlemen's Doubles - First Round","First Round","0","2:30","1467463076000","Saturday 02 July 2016","03:56pm BST","10","true","1","12.00","Complete","Skupski","Ken","K. Skupski","atpsc40","GBR","Skupski","Neal","N. Skupski","atpsl22","GBR","","2","2","","7","9","11","","","","","","true","Kubot","Lukasz","L. Kubot","atpk540","POL","Peya","Alexander","A. Peya","atpp467","AUT","7","1","6","","6","7","9","","","","","","false"
"","","","","","61","Gentlemen's Doubles","MD","13","C","3207","Court 19","T","Gentlemen's Doubles - Second Round","Second Round","0","2:01","1467471395000","","","0","true","1","12.00","Complete","Huey","Treat","T. Huey","atph788","PHI","Mirnyi","Max","M. Mirnyi","atpm595","BLR","12","2","6","","6","7","6","","","","","","true","Demoliner","Marcelo","M. Demoliner","atpd833","BRA","Qureshi","Aisam","A. Qureshi","atpq019","PAK","","1","4","","7","9","3","","","","","","false"
"9","Day 5 Friday 1 July","12","MS,MD,LS,LD,MX","false","1","Gentlemen's Singles","MS","12","A","1224","Centre Court","A","Gentlemen's Singles - Second Round","Second Round","0","2:44","1467367047000","Friday 01 July 2016","10:57am BST","109","true","1","1:00 PM","Complete","Del Potro","Juan Martin","J. Del Potro","atpd683","ARG","","","","","","","3","3","","6","","7","7","6","","","","true","Wawrinka","Stan","S. Wawrinka","atpw367","SUI","","","","","","4","1","6","","3","","6","2","3","","","","false"
"","","","","","2","Ladies' Singles","LS","12","B","2201","Centre Court","A","Ladies' Singles - Second Round","Second Round","0","2:29","1467379282000","Friday 01 July 2016","02:21pm BST","4","true","1","13.00","Complete","Williams","Serena","S. Williams","wta230234","USA","","","","","","1","2","6","7","6","","6","","","","","","true","McHale","Christina","C. McHale","wta314917","USA","","","","","","","1","7","9","2","","4","","","","","","false"
"","","","","","3","Gentlemen's Singles","MS","12","A","1305","Centre Court","A","Gentlemen's Singles - Third Round","Third Round","0","1:26","1467385693000","Friday 01 July 2016","04:08pm BST","0","true","1","13.00","Complete","Federer","Roger","R. Federer","atpf324","SUI","","","","","","3","3","6","","6","","6","","","","","","true","Evans","Daniel","D. Evans","atpe687","GBR","","","","","","","0","4","","2","","2","","","","","","false"
"","","","","","4","Ladies' Singles","LS","12","B","2313","No.1 Court","B","Ladies' Singles - Third Round","Third Round","0","2:41","1467376565000","Friday 01 July 2016","01:36pm BST","14","true","1","1:00 PM","Complete","Williams","Venus","V. Williams","wta230220","USA","","","","","","8","2","7","","4","","10","","","","","","true","Kasatkina","Daria","D. Kasatkina","wta322082","RUS","","","","","","29","1","5","","6","","8","","","","","","false"
"","","","","","5","Gentlemen's Singles","MS","12","A","1229","No.2 Court","C","Gentlemen's Singles - Second Round","Second Round","0","2:05","1467377254000","Friday 01 July 2016","01:47pm BST","6","true","1","11:00 AM","Complete","Kyrgios","Nick","N. Kyrgios","atpke17","AUS","","","","","","15","3","6","3","6","","2","","6","","6","","true","Brown","Dustin","D. Brown","atpba65","GER","","","","","","","2","7","7","1","","6","","4","","4","","false"
"","","","","","6","Gentlemen's Singles","MS","12","A","1220","No.3 Court","D","Gentlemen's Singles - Second Round","Second Round","0","1:24","1467369390000","Friday 01 July 2016","11:36am BST","19","true","1","11:00 AM","Complete","Becker","Benjamin","B. Becker","atpb896","GER","","","","","","","0","4","","1","","2","","","","","","false","Berdych","Tomas","T. Berdych","atpba47","CZE","","","","","","10","3","6","","6","","6","","","","","","true"
"","","","","","7","Ladies' Singles","LS","12","B","2204","No.3 Court","D","Ladies' Singles - Second Round","Second Round","0","1:34","1467381664000","Friday 01 July 2016","03:01pm BST","0","true","1","11.00","Complete","Moore","Tara","T. Moore","wta314563","GBR","","","","","","","1","1","","6","","3","","","","","","false","Kuznetsova","Svetlana","S. Kuznetsova","wta110552","RUS","","","","","","13","2","6","","2","","6","","","","","","true"
"","","","","","8","Gentlemen's Singles","MS","12","A","1228","Court 12","M","Gentlemen's Singles - Second Round","Second Round","0","1:22","1467369608000","Friday 01 July 2016","11:40am BST","19","true","1","11:00 AM","Complete","Monaco","Juan","J. Monaco","atpma21","ARG","","","","","","","0","1","","4","","3","","","","","","false","Tsonga","Jo-Wilfried","J-W. Tsonga","atpt786","FRA","","","","","","12","3","6","","6","","6","","","","","","true"
"","","","","","9","Gentlemen's Singles","MS","12","A","1227","Court 18","S","Gentlemen's Singles - Second Round","Second Round","0","2:17","1467378470000","Friday 01 July 2016","02:07pm BST","2","true","1","11:00 AM","Complete","Isner","John","J. Isner","atpi186","USA","","","","","","18","3","7","10","7","7","7","10","","","","","true","Barton","Matthew","M. Barton","atpbh98","AUS","","","","","","","0","6","8","6","3","6","8","","","","","false"
"","","","","","10","Ladies' Singles","LS","12","B","2206","Court 4","E","Ladies' Singles - Second Round","Second Round","0","1:36","1467370377000","Friday 01 July 2016","11:52am BST","3","true","1","TBD","Complete","Putintseva","Yulia","Y. Putintseva","wta317683","KAZ","","","","","","","0","5","","1","","","","","","","","false","Pavlyuchenkova","Anastasia","A. Pavlyuchenkova","wta313796","RUS","","","","","","21","2","7","","6","","","","","","","","true"
"","","","","","11","Mixed Doubles","MX","12","E","5123","Court 4","E","Mixed Doubles - First Round","First Round","0","0:53","1467380229000","Friday 01 July 2016","02:37pm BST","0","true","1","","Complete","Cabal","Juan-Sebastian","J. Cabal","atpc834","COL","Duque-Marino","Mariana","M. Duque-Marino","wta312572","COL","","2","6","","6","","","","","","","","true","Pavic","Mate","M. Pavic","atppf00","CRO","Jurak","Darija","D. Jurak","wta100157","CRO","","0","3","","2","","","","","","","","false"
"","","","","","12","Ladies' Doubles","LD","12","D","4129","Court 5","F","Ladies' Doubles - First Round","First Round","0","1:59","1467377827000","Friday 01 July 2016","01:57pm BST","2","true","1","11:00 AM","Complete","Medina Garrigues","Anabel","A. Medina Garrigues","wta130611","ESP","Parra Santonja","Arantxa","A. Parra Santonja","wta160451","ESP","14","2","4","","6","","6","","","","","","true","Krejcikova","Barbora","B. Krejcikova","wta318314","CZE","Siniakova","Katerina","K. Siniakova","wta320301","CZE","","1","6","","4","","3","","","","","","false"
"","","","","","13","Gentlemen's Doubles","MD","12","C","3130","Court 5","F","Gentlemen's Doubles - First Round","First Round","0","0:45","1467381356000","Friday 01 July 2016","02:55pm BST","0","true","1","11.00","Complete","Lajovic","Dusan","D. Lajovic","atpl987","SRB","Troicki","Viktor","V. Troicki","atpt840","SRB","","2","6","","6","","","","","","","","true","Dolgopolov","Alexandr","A. Dolgopolov","atpd801","UKR","Stakhovsky","Sergiy","S. Stakhovsky","atpsc77","UKR","","0","3","","1","","","","","","","","false"
"","","","","","14","Gentlemen's Doubles","MD","12","C","3103","Court 6","G","Gentlemen's Doubles - First Round","First Round","0","0:35","1467366703000","Friday 01 July 2016","10:51am BST","3","true","1","11:00 AM","Retired","Mayer","Leonardo","L. Mayer","atpmd56","ARG","Sousa","Joao","J. Sousa","atpsh90","POR","","0","3","","","","","","","","","","false","Groth","Sam","S. Groth","atpg940","AUS","Lindstedt","Robert","R. Lindstedt","atpl335","SWE","","1","6","","","","","","","","","","true"
"","","","","","15","Gentlemen's Doubles","MD","12","C","3125","Court 6","G","Gentlemen's Doubles - First Round","First Round","0","0:51","1467377386000","Friday 01 July 2016","01:49pm BST","2","true","1","11.00","Complete","Dodig","Ivan","I. Dodig","atpd646","CRO","Melo","Marcelo","M. Melo","atpm919","BRA","5","2","6","","6","","","","","","","","true","Mathieu","Paul-Henri","P-H. Mathieu","atpm850","FRA","Paire","Benoit","B. Paire","atppd31","FRA","","0","2","","3","","","","","","","","false"
"","","","","","16","Ladies' Singles","LS","12","B","2202","Court 7","H","Ladies' Singles - Second Round","Second Round","0","0:55","1467367579000","Friday 01 July 2016","11:06am BST","13","true","1","11:00 AM","Complete","Beck","Annika","A. Beck","wta316979","GER","","","","","","","2","6","","6","","","","","","","","true","Sasnovich","Aliaksandra","A. Sasnovich","wta317790","BLR","","","","","","","0","2","","1","","","","","","","","false"
"","","","","","17","Gentlemen's Doubles","MD","12","C","3106","Court 7","H","Gentlemen's Doubles - First Round","First Round","0","0:42","1467377187000","Friday 01 July 2016","01:46pm BST","2","true","1","11.00","Complete","Lu","Yen-Hsun","Y-H. Lu","atpl575","TPE","Tipsarevic","Janko","J. Tipsarevic","atpt742","SRB","","0","1","","3","","","","","","","","false","Matkowski","Marcin","M. Matkowski","atpm844","POL","Paes","Leander","L. Paes","atpp269","IND","","2","6","","6","","","","","","","","true"
"","","","","","18","Mixed Doubles","MX","12","E","5111","Court 7","H","Mixed Doubles - First Round","First Round","0","0:53","1467381582000","Friday 01 July 2016","02:59pm BST","0","true","1","11.00","Complete","Martin","Fabrice","F. Martin","atpme04","FRA","Savchuk","Olga","O. Savchuk","wta310816","UKR","","0","2","","4","","","","","","","","false","Guccione","Chris","C. Guccione","atpg621","AUS","Svitolina","Elina","E. Svitolina","wta316738","UKR","","2","6","","6","","","","","","","","true"
"","","","","","19","Gentlemen's Doubles","MD","12","C","3107","Court 9","J","Gentlemen's Doubles - First Round","First Round","0","2:26","1467379410000","Friday 01 July 2016","02:23pm BST","0","true","1","11:00 AM","Complete","Brunstrom","Johan","J. Brunstrom","atpb908","SWE","Siljestrom","Andreas","A. Siljestrom","atpsc54","SWE","","1","3","","7","7","6","","","","","","false","Martin","Andrej","A. Martin","atpmf35","SVK","Podlipnik-Castillo","Hans","H. Podlipnik-Castillo","atppb37","CHI","","2","6","","6","4","8","","","","","","true"
"","","","","","20","Gentlemen's Doubles","MD","12","C","3115","Court 10","K","Gentlemen's Doubles - First Round","First Round","0","1:33","1467370434000","Friday 01 July 2016","11:53am BST","0","true","1","11:00 AM","Complete","Ratiwatana","Sanchai","Sa. Ratiwatana","atpr518","THA","Ratiwatana","Sonchat","So. Ratiwatana","atpr519","THA","","1","6","","3","","3","","","","","","false","Marach","Oliver","O. Marach","atpm760","AUT","Martin","Fabrice","F. Martin","atpme04","FRA","","2","4","","6","","6","","","","","","true"
"","","","","","21","Ladies' Singles","LS","12","B","2314","Court 11","L","Ladies' Singles - Third Round","Third Round","0","1:05","1467368524000","Friday 01 July 2016","11:22am BST","4","true","1","TBD","Complete","Erakovic","Marina","M. Erakovic","wta312086","NZL","","","","","","","0","2","","2","","","","","","","","false","Suarez Navarro","Carla","C. Suarez Navarro","wta311338","ESP","","","","","","12","2","6","","6","","","","","","","","true"
"","","","","","22","Gentlemen's Doubles","MD","12","C","3122","Court 14","O","Gentlemen's Doubles - First Round","First Round","0","1:04","1467368211000","Friday 01 July 2016","11:16am BST","2","true","1","11:00 AM","Complete","Pella","Guido","G. Pella","atppc11","ARG","Zeballos","Horacio","H. Zeballos","atpz184","ARG","","0","4","","4","","","","","","","","false","Duran","Guillermo","G. Duran","atpd787","ARG","Gonzalez","Maximo","M. Gonzalez","atpg585","ARG","","2","6","","6","","","","","","","","true"
"","","","","","23","Gentlemen's Doubles","MD","12","C","3119","Court 14","O","Gentlemen's Doubles - First Round","First Round","0","1:11","1467379278000","Friday 01 July 2016","02:21pm BST","0","true","1","11.00","Complete","Benneteau","Julien","J. Benneteau","atpb747","FRA","Roger-Vasselin","Edouard","E. Roger-Vasselin","atpr613","FRA","","2","6","","6","","","","","","","","true","Lopez","Marc","M. Lopez","atpl480","ESP","Ramos-Vinolas","Albert","A. Ramos-Vinolas","atpr772","ESP","","0","3","","3","","","","","","","","false"
"","","","","","24","Ladies' Singles","LS","12","B","2214","Court 15","P","Ladies' Singles - Second Round","Second Round","0","1:14","1467368960000","Friday 01 July 2016","11:29am BST","5","true","1","TBD","Complete","Rodina","Evgeniya","E. Rodina","wta312584","RUS","","","","","","","0","4","","0","","","","","","","","false","Strycova","Barbora","B. Strycova","wta190879","CZE","","","","","","24","2","6","","6","","","","","","","","true"
"","","","","","25","Gentlemen's Singles","MS","12","A","1230","Court 16","Q","Gentlemen's Singles - Second Round","Second Round","0","3:08","1467381514000","Friday 01 July 2016","02:58pm BST","0","true","1","11:00 AM","Complete","Fognini","Fabio","F. Fognini","atpf510","ITA","","","","","","","2","6","","7","7","3","","3","","3","","false","Lopez","Feliciano","F. Lopez","atpl397","ESP","","","","","","22","3","3","","6","5","6","","6","","6","","true"
"","","","","","26","Gentlemen's Singles","MS","12","A","1223","Court 17","R","Gentlemen's Singles - Second Round","Second Round","0","1:27","1467369646000","Friday 01 July 2016","11:40am BST","11","true","1","11:00 AM","Complete","Pouille","Lucas","L. Pouille","atppf39","FRA","","","","","","32","3","6","","6","","6","","","","","","true","Young","Donald","D. Young","atpy124","USA","","","","","","","0","4","","3","","3","","","","","","false"
"","","","","","27","Gentlemen's Doubles","MD","12","C","3108","Court 19","T","Gentlemen's Doubles - First Round","First Round","0","1:20","1467369292000","Friday 01 July 2016","11:34am BST","1","true","1","11:00 AM","Complete","Draganja","Marin","M. Draganja","atpd934","CRO","Mektic","Nikola","N. Mektic","atpmf09","CRO","","0","5","","6","6","","","","","","","false","Bopanna","Rohan","R. Bopanna","atpb757","IND","Mergea","Florin","F. Mergea","atpmb27","ROU","6","2","7","","7","8","","","","","","","true"
"10","Day 4 Thursday 30 June","11","MS,MD,LS,LD","false","1","Gentlemen's Singles","MS","11","A","1216","Centre Court","A","Gentlemen's Singles - Second Round","Second Round","0","2:36","1467298812000","Thursday 30 June 2016","04:00pm BST","0","true","1","1:00 PM","Complete","Benneteau","Julien","J. Benneteau","atpb747","FRA","","","","","","","1","6","","4","","4","","2","","","","false","Nishikori","Kei","K. Nishikori","atpn552","JPN","","","","","","5","3","4","","6","","6","","6","","","","true"
"","","","","","2","Gentlemen's Singles","MS","11","A","1232","Centre Court","A","Gentlemen's Singles - Second Round","Second Round","0","1:40","1467305809000","Thursday 30 June 2016","05:56pm BST","2","true","1","13.00","Complete","Lu","Yen-Hsun","Y-H. Lu","atpl575","TPE","","","","","","","0","3","","2","","1","","","","","","false","Murray","Andy","A. Murray","atpmc10","GBR","","","","","","2","3","6","","6","","6","","","","","","true"
"","","","","","3","Ladies' Singles","LS","11","B","2212","Centre Court","A","Ladies' Singles - Second Round","Second Round","0","1:47","1467313749000","Thursday 30 June 2016","08:09pm BST","2","true","1","13.00","Complete","Bouchard","Eugenie","E. Bouchard","wta316161","CAN","","","","","","","2","6","","1","","6","","","","","","true","Konta","Johanna","J. Konta","wta313907","GBR","","","","","","16","1","3","","6","","1","","","","","","false"
"","","","","","4","Gentlemen's Singles","MS","11","A","1212","No.1 Court","B","Gentlemen's Singles - Second Round","Second Round","0","3:02","1467298992000","Thursday 30 June 2016","04:03pm BST","0","true","1","1:00 PM","Complete","Dimitrov","Grigor","G. Dimitrov","atpd875","BUL","","","","","","","3","6","","7","7","4","","6","","","","true","Simon","Gilles","G. Simon","atpsd32","FRA","","","","","","16","1","3","","6","1","6","","4","","","","false"
"","","","","","5","Ladies' Singles","LS","11","B","2232","No.1 Court","B","Ladies' Singles - Second Round","Second Round","0","0:59","1467303606000","Thursday 30 June 2016","05:20pm BST","1","true","1","13.00","Complete","Cepelova","Jana","J. Cepelova","wta316774","SVK","","","","","","","2","6","","6","","","","","","","","true","Muguruza","Garbine","G. Muguruza","wta316239","ESP","","","","","","2","0","3","","2","","","","","","","","false"
"","","","","","6","Gentlemen's Singles","MS","11","A","1217","No.1 Court","B","Gentlemen's Singles - Second Round","Second Round","0","2:45","1467314782000","Thursday 30 June 2016","08:26pm BST","1","true","1","13.00","Complete","Thiem","Dominic","D. Thiem","atptb69","AUT","","","","","","8","0","6","4","6","5","6","3","","","","","false","Vesely","Jiri","J. Vesely","atpv708","CZE","","","","","","","3","7","7","7","7","7","7","","","","","true"
"","","","","","7","Gentlemen's Singles","MS","11","A","1210","No.2 Court","C","Gentlemen's Singles - Second Round","Second Round","0","1:58","1467285468000","Thursday 30 June 2016","12:17pm BST","0","true","1","11:00 AM","Complete","Evans","Daniel","D. Evans","atpe687","GBR","","","","","","","3","7","8","6","","6","","","","","","true","Dolgopolov","Alexandr","A. Dolgopolov","atpd801","UKR","","","","","","30","0","6","6","4","","1","","","","","","false"
"","","","","","8","Ladies' Singles","LS","11","B","2217","No.2 Court","C","Ladies' Singles - Second Round","Second Round","0","1:05","1467290634000","Thursday 30 June 2016","01:43pm BST","4","true","1","11.00","Complete","Halep","Simona","S. Halep","wta314320","ROU","","","","","","5","2","6","","6","","","","","","","","true","Schiavone","Francesca","F. Schiavone","wta190666","ITA","","","","","","","0","1","","1","","","","","","","","false"
"","","","","","9","Gentlemen's Singles","MS","11","A","1222","No.2 Court","C","Gentlemen's Singles - Second Round","Second Round","0","2:50","1467302006000","Thursday 30 June 2016","04:53pm BST","0","true","1","11.00","Complete","Albot","Radu","R. Albot","atpa829","MDA","","","","","","","1","6","3","3","","7","8","3","","","","false","Tomic","Bernard","B. Tomic","atpta46","AUS","","","","","","19","3","7","7","6","","6","6","6","","","","true"
"","","","","","10","Ladies' Singles","LS","11","B","2209","No.2 Court","C","Ladies' Singles - Second Round","Second Round","0","2:36","1467312592000","Thursday 30 June 2016","07:49pm BST","0","true","1","11.00","Complete","Radwanska","Agnieszka","A. Radwanska","wta312251","POL","","","","","","3","2","6","","4","","9","","","","","","true","Konjuh","Ana","A. Konjuh","wta320682","CRO","","","","","","","1","2","","6","","7","","","","","","false"
"","","","","","11","Ladies' Singles","LS","11","B","2109","No.3 Court","D","Ladies' Singles - First Round","First Round","0","1:22","1467286649000","Thursday 30 June 2016","12:37pm BST","1","true","1","11:00 AM","Complete","Bacsinszky","Timea","T. Bacsinszky","wta311579","SUI","","","","","","11","2","6","","6","","","","","","","","true","Kumkhum","Luksika","L. Kumkhum","wta317033","THA","","","","","","","0","4","","2","","","","","","","","false"
"","","","","","12","Gentlemen's Singles","MS","11","A","1208","No.3 Court","D","Gentlemen's Singles - Second Round","Second Round","0","1:57","1467295072000","Thursday 30 June 2016","02:57pm BST","2","true","1","11.00","Complete","Seppi","Andreas","A. Seppi","atpsa93","ITA","","","","","","","0","6","5","4","","2","","","","","","false","Raonic","Milos","M. Raonic","atpr975","CAN","","","","","","6","3","7","7","6","","6","","","","","","true"
"","","","","","13","Ladies' Singles","LS","11","B","2216","No.3 Court","D","Ladies' Singles - Second Round","Second Round","0","0:41","1467298772000","Thursday 30 June 2016","03:59pm BST","0","true","1","11.00","Retired","Boserup","Julia","J. Boserup","wta313832","USA","","","","","","","1","6","","1","","","","","","","","true","Bencic","Belinda","B. Bencic","wta319001","SUI","","","","","","7","0","4","","0","","","","","","","","false"
"","","","","","14","Ladies' Doubles","LD","11","D","4120","No.3 Court","D","Ladies' Doubles - First Round","First Round","0","1:22","1467308367000","Thursday 30 June 2016","06:39pm BST","0","true","1","11.00","Complete","Williams","Serena","S. Williams","wta230234","USA","Williams","Venus","V. Williams","wta230220","USA","","2","7","","6","","","","","","","","true","Klepac","Andreja","A. Klepac","wta312041","SLO","Srebotnik","Katarina","K. Srebotnik","wta190636","SLO","11","0","5","","3","","","","","","","","false"
"","","","","","15","Ladies' Singles","LS","11","B","2207","No.3 Court","D","Ladies' Singles - Second Round","Second Round","0","1:00","1467313104000","Thursday 30 June 2016","07:58pm BST","0","true","1","11.00","Complete","Vandeweghe","Coco","C. Vandeweghe","wta314464","USA","","","","","","27","2","6","","6","","","","","","","","true","Babos","Timea","T. Babos","wta317070","HUN","","","","","","","0","2","","3","","","","","","","","false"
"","","","","","16","Ladies' Singles","LS","11","B","2103","Court 12","M","Ladies' Singles - First Round","First Round","0","2:52","1467286518000","Thursday 30 June 2016","12:35pm BST","0","true","1","11:00 AM","Complete","Watson","Heather","H. Watson","wta316981","GBR","","","","","","","1","6","","0","","10","","","","","","false","Beck","Annika","A. Beck","wta316979","GER","","","","","","","2","3","","6","","12","","","","","","true"
"","","","","","17","Gentlemen's Singles","MS","11","A","1213","Court 12","M","Gentlemen's Singles - Second Round","Second Round","0","2:50","1467298012000","Thursday 30 June 2016","03:46pm BST","0","true","1","11.00","Complete","Cilic","Marin","M. Cilic","atpc977","CRO","","","","","","9","3","6","","6","6","6","","6","","","","true","Stakhovsky","Sergiy","S. Stakhovsky","atpsc77","UKR","","","","","","","1","2","","7","8","4","","4","","","","false"
"","","","","","18","Gentlemen's Singles","MS","11","A","1225","Court 12","M","Gentlemen's Singles - Second Round","Second Round","0","2:49","1467309435000","Thursday 30 June 2016","06:57pm BST","0","true","1","11.00","Complete","Gasquet","Richard","R. Gasquet","atpg628","FRA","","","","","","7","3","4","","7","","6","","6","","","","true","Granollers","Marcel","M. Granollers","atpg710","ESP","","","","","","","1","6","","5","","3","","1","","","","false"
"","","","","","19","Ladies' Doubles","LD","11","D","4109","Court 12","M","Ladies' Doubles - First Round","First Round","0","1:16","1467315483000","Thursday 30 June 2016","08:38pm BST","0","true","1","11.00","Complete","Chan","Hao-Ching","H. Chan","wta315741","TPE","Chan","Yung-Jan","Y-J. Chan","wta312015","TPE","3","2","6","","6","","","","","","","","true","Barty","Ashleigh","A. Barty","wta318033","AUS","Robson","Laura","L. Robson","wta316629","GBR","","0","4","","2","","","","","","","","false"
"","","","","","20","Ladies' Singles","LS","11","B","2104","Court 18","S","Ladies' Singles - First Round","First Round","0","1:10","1467285855000","Thursday 30 June 2016","12:24pm BST","0","true","1","11:00 AM","Complete","Sasnovich","Aliaksandra","A. Sasnovich","wta317790","BLR","","","","","","","2","6","","6","","","","","","","","true","Mladenovic","Kristina","K. Mladenovic","wta315616","FRA","","","","","","31","0","3","","3","","","","","","","","false"
"","","","","","21","Ladies' Singles","LS","11","B","2225","Court 18","S","Ladies' Singles - Second Round","Second Round","0","2:24","1467295733000","Thursday 30 June 2016","03:08pm BST","1","true","1","11.00","Complete","Williams","Venus","V. Williams","wta230220","USA","","","","","","8","2","7","","4","","6","","","","","","true","Sakkari","Maria","M. Sakkari","wta318312","GRE","","","","","","","1","5","","6","","3","","","","","","false"
"","","","","","22","Ladies' Singles","LS","11","B","2224","Court 18","S","Ladies' Singles - Second Round","Second Round","0","0:52","1467299892000","Thursday 30 June 2016","04:18pm BST","1","true","1","11.00","Complete","Lepchenko","Varvara","V. Lepchenko","wta120420","USA","","","","","","","0","1","","4","","","","","","","","false","Kerber","Angelique","A. Kerber","wta311470","GER","","","","","","4","2","6","","6","","","","","","","","true"
